,Comments,Origin
237,Maz popozita para loz putikks.,Reforma
238,"Mejor le hubiera contado la verdad : Tu, el peor Presidente de México 🇲🇽",Reforma
239,"Si como habla lee, para la segunda página ya se acabó el día",Reforma
240,Par de zopilotes,Reforma
241,Y a los niños con cáncer y sin medicamentos que noticia les tienen????,Reforma
242,¿..y que tal lo leyeron?,Reforma
243,Par se ridiculos,Reforma
244,"Les ""gusto"" mucho el ""cuento"" a los niños con cáncer.",Reforma
245,Es auto biografía ?,Reforma
246,Y los niños con Cáncer asco de personas,Reforma
247,Para cuando termine el cuento los niños ya alcanzaron la mayoría de edad jajaja,Reforma
248,Ahora si los vamos a vacunar… 😌😉,Reforma
249,Irrelevante,Reforma
250,"MEJOR LES HUBIERNA LEIDO LOS RESULTADOS DE SUS INUTILES PROGRAMAS SOCIALES, PARA QUE SE OLVIDEN DE SU POBREZA",Reforma
251,"En fin, la soberbia.",Reforma
252,Encuentro cierta analogía entre él cuento y la 4t. Y entre la señora gorda y amlo.,Reforma
253,el circo de los que habitan palacio nacional bahhhhhh🤮🤮🤮🤮🤮,Reforma
254,Los que dejaron a los niños sin tratamiento para el cáncer,Reforma
255,"Con el cuento diario del ""Pinocho López"" es suficiente; sería mejor una película:",Reforma
256,GRACIAS POR SU FELICITACION A LOS NIÑOS PRIMERA DAMA DE MEXICO,Reforma
257,"Las memorias de ""chacal"" HUERTA ???? Imponiendo la idiología del siglo pasado",Reforma
258,Al menos saben leer,Reforma
259,Eloisa Elo Gaston Llano,Reforma
260,Eloisa Elo Gaston Llano,Reforma
261,Eloisa Elo Gaston Llano,Reforma
262,Arturo Tapia Sanchez,Reforma
263,Marilú BM,Reforma
264,Urbano Valerio Canul Ceballos,Reforma
265,Poncho Arteaga,Reforma
266,Juan Ernesto Pereyra,Reforma
267,Poncho Arteaga,Reforma
268,Mela Galicia,Reforma
269,Carlos Perez Romo,Reforma
270,Domingo Saavedra,Reforma
271,Ara Escalona Reynoso,Reforma
272,Sixto Gallegos,Reforma
273,Arlene Johnson Carrera,Reforma
274,Llevan 3 años contando cuentos a diario!,Reforma
275,Más cuentos que los que dice a diario en sus marranera ya aburre,Reforma
276,Pobres niños que culpa tienen de escuchar a esas dos basuras.,Reforma
277,Qué padre. Seguramente los niños con cáncer deben haberlo disfrutado mucho.,Reforma
278,Par de idiotas dementes,Reforma
279,¡Sinvergüenzas HDP!,Reforma
280,Atentamente la zopilota de palacio nacional,Reforma
281,Pin643 par de hipócritas,Reforma
282,Cínica,Reforma
283,Karla Hernández Galindo,Reforma
284,Karla Hernández Galindo,Reforma
285,Karla Hernández Galindo,Reforma
286,Karla Hernández Galindo,Reforma
287,Karla Hernández Galindo,Reforma
288,Karla Hernández Galindo,Reforma
289,Karla Hernández Galindo,Reforma
290,Karla Hernández Galindo,Reforma
291,Karla Hernández Galindo,Reforma
292,Karla Hernández Galindo,Reforma
